,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
0,BTC-USD,Bitcoin USD,16839.39,165.39,+0.99%,324.199B,18.386B,18.386B,18.386B,19.252M,,
1,ETH-USD,Ethereum USD,1253.73,41.27,+3.40%,153.424B,6.39B,6.39B,6.39B,122.374M,,
2,USDT-USD,Tether USD,0.99975,1.1e-05,+0.00%,66.247B,24.554B,24.554B,24.554B,66.264B,,
3,USDC-USD,USD Coin USD,0.999992,-0.000121,-0.01%,44.184B,2.374B,2.374B,2.374B,44.185B,,
4,BNB-USD,BNB USD,258.32,12.25,+4.98%,41.323B,629.787M,629.787M,629.787M,159.964M,,
5,XRP-USD,XRP USD,0.347244,0.002668,+0.77%,17.558B,803.097M,803.097M,803.097M,50.564B,,
6,BUSD-USD,Binance USD USD,1.0005,0.0003,+0.03%,16.563B,5.801B,5.801B,5.801B,16.554B,,
7,DOGE-USD,Dogecoin USD,0.072594,0.0023,+3.27%,9.631B,331.423M,331.423M,331.423M,132.671B,,
8,ADA-USD,Cardano USD,0.266954,0.014659,+5.81%,9.215B,288.862M,288.862M,288.862M,34.519B,,
9,MATIC-USD,Polygon USD,0.804887,0.026367,+3.39%,7.03B,302.655M,302.655M,302.655M,8.734B,,
10,DAI-USD,Dai USD,0.999893,-0.000193,-0.02%,5.771B,148.467M,148.467M,148.467M,5.771B,,
11,WTRX-USD,Wrapped TRON USD,0.054433,-0.000558,-1.01%,5.535B,1.528M,1.528M,1.528M,101.676B,,
12,LTC-USD,Litecoin USD,75.11,-0.22,-0.29%,5.407B,577.537M,577.537M,577.537M,71.982M,,
13,DOT-USD,Polkadot USD,4.6209,0.101,+2.23%,5.328B,134.172M,134.172M,134.172M,1.153B,,
14,TRX-USD,TRON USD,0.054675,-0.000209,-0.38%,5.027B,176.558M,176.558M,176.558M,91.946B,,
15,SOL-USD,Solana USD,13.51,0.21,+1.58%,4.971B,1.144B,1.144B,1.144B,367.932M,,
